doctor_id,facility_id,age
D0407,F0256,52
D0408,F0152,53
D0409,F0221,63
D0410,F0157,55
D0411,F0081,33
D0412,F0240,51
D0413,F0074,56
D0414,F0095,48
D0415,F0156,46
D0416,F0252,58
D0417,F0116,52
D0418,F0149,54
D0419,F0013,47
D0420,F0035,41
D0421,F0017,49
D0422,F0022,63
D0423,F0261,52
D0424,F0253,55
D0425,F0247,36
D0426,F0017,64
D0427,F0024,40
D0428,F0085,64
D0429,F0170,47
D0430,F0101,62
D0431,F0147,61
D0432,F0052,57
D0433,F0220,62
D0434,F0095,52
D0435,F0020,60
D0436,F0223,38
D0437,F0271,35
D0438,F0005,50
D0439,F0132,58
D0440,F0249,57
D0441,F0212,49
D0442,F0257,49
D0443,F0125,52
D0444,F0112,60
D0445,F0213,59
D0446,F0047,36
D0447,F0072,52
D0448,F0181,45
D0449,F0201,58
D0450,F0036,49
D0451,F0153,64
D0452,F0110,46
D0453,F0151,54
D0454,F0288,36
D0455,F0023,62
D0456,F0299,37
D0457,F0135,45
D0458,F0232,59
D0459,F0128,63
D0460,F0094,48
D0461,F0232,48
D0462,F0207,34
D0463,F0044,64
D0464,F0212,33
D0465,F0226,33
D0466,F0117,48
D0467,F0278,33
D0468,F0193,38
D0469,F0101,53
D0470,F0004,55
D0471,F0203,42
D0472,F0063,58
D0473,F0227,52
D0474,F0158,40
D0475,F0141,55
D0476,F0050,51
D0477,F0214,58
D0478,F0050,37
D0479,F0126,40
D0480,F0251,42
D0481,F0277,43
D0482,F0297,61
D0483,F0288,56
D0484,F0167,50
D0485,F0061,50
D0486,F0252,61
D0487,F0241,47
D0488,F0298,40
D0489,F0196,37
D0490,F0043,43
D0491,F0151,53
D0492,F0135,48
D0493,F0253,46
D0494,F0118,48
D0495,F0099,64
D0496,F0025,64
D0497,F0251,38
D0498,F0227,36
D0499,F0013,40
D0500,F0131,60
D0501,F0144,47
D0502,F0141,60
D0503,F0276,53
D0504,F0046,50
D0505,F0092,42
D0506,F0055,44
D0507,F0074,37
D0508,F0273,49
D0509,F0283,41
D0510,F0014,42
D0511,F0190,34
D0512,F0070,58
D0513,F0058,63
D0514,F0088,48
D0515,F0059,50
D0516,F0148,62
D0517,F0299,49
D0518,F0176,52
D0519,F0217,46
D0520,F0148,49
D0521,F0005,49
D0522,F0026,55
D0523,F0081,52
D0524,F0074,49
D0525,F0253,35
D0526,F0254,61
D0527,F0257,61
D0528,F0192,38
D0529,F0167,42
D0530,F0195,64
D0531,F0123,43
D0532,F0202,58
D0533,F0239,58
D0534,F0229,60
D0535,F0185,33
D0536,F0018,48
D0537,F0218,51
D0538,F0110,59
D0539,F0224,40
D0540,F0162,42
D0541,F0265,38
D0542,F0102,57
D0543,F0280,64
D0544,F0254,37
D0545,F0100,40
D0546,F0145,42
D0547,F0160,61
D0548,F0231,47
D0549,F0207,42
D0550,F0256,43
D0551,F0111,52
D0552,F0152,45
D0553,F0130,37
D0554,F0273,59
D0555,F0092,46
D0556,F0177,41
D0557,F0037,56
D0558,F0256,56
D0559,F0116,37
D0560,F0103,35
D0561,F0175,34
D0562,F0150,57
D0563,F0255,53
D0564,F0160,58
D0565,F0156,53
D0566,F0032,45
D0567,F0007,51
D0568,F0120,56
D0569,F0300,45
D0570,F0276,62
D0571,F0189,61
D0572,F0190,58
D0573,F0118,64
D0574,F0054,45
D0575,F0003,36
D0576,F0102,48
D0577,F0095,56
D0578,F0058,57
D0579,F0078,45
D0580,F0008,42
D0581,F0183,47
D0582,F0279,58
D0583,F0208,34
D0584,F0135,43
D0585,F0127,40
D0586,F0093,58
D0587,F0043,48
D0588,F0180,35
D0589,F0170,41
D0590,F0003,34
D0591,F0125,48
D0592,F0084,64
D0593,F0052,51
D0594,F0211,60
D0595,F0158,56
D0596,F0191,61
D0597,F0215,42
D0598,F0295,63
D0599,F0241,40
D0600,F0187,47
D0601,F0264,54
D0602,F0144,42
D0603,F0296,41
D0604,F0229,37
D0605,F0196,33
D0606,F0271,49
D0607,F0155,64
D0608,F0217,40
D0609,F0086,47
D0610,F0289,62
D0611,F0188,57
D0612,F0235,33
D0613,F0139,49
D0614,F0261,37
D0615,F0023,40
D0616,F0035,40
D0617,F0153,52
D0618,F0220,39
D0619,F0243,41
D0620,F0133,40
D0621,F0195,44
D0622,F0166,53
D0623,F0289,45
D0624,F0197,43
D0625,F0126,49
D0626,F0291,52
D0627,F0033,33
D0628,F0296,61
D0629,F0047,62
D0630,F0087,52
D0631,F0247,51
D0632,F0221,55
D0633,F0292,47
D0634,F0225,44
D0635,F0192,44
D0636,F0104,38
D0637,F0002,59
D0638,F0038,43
D0639,F0090,42
D0640,F0013,63
D0641,F0153,49
D0642,F0234,52
D0643,F0289,40
D0644,F0147,41
D0645,F0263,56
D0646,F0296,47
D0647,F0258,37
D0648,F0140,59
D0649,F0098,45
D0650,F0294,54
D0651,F0073,43
D0652,F0124,50
D0653,F0023,57
D0654,F0239,61
D0655,F0195,39
D0656,F0026,54
D0657,F0067,62
D0658,F0167,53
D0659,F0163,37
D0660,F0241,39
D0661,F0080,39
D0662,F0278,36
D0663,F0134,57
D0664,F0247,63
D0665,F0072,49
D0666,F0012,52
D0667,F0017,57
D0668,F0112,46
D0669,F0286,48
D0670,F0015,51
D0671,F0111,42
D0672,F0033,34
D0673,F0280,51
D0674,F0203,59
D0675,F0229,35
D0676,F0214,39
D0677,F0198,41
D0678,F0233,58
D0679,F0003,49
D0680,F0260,50
D0681,F0222,53
D0682,F0222,41
D0683,F0119,55
D0684,F0241,33
D0685,F0115,36
D0686,F0015,59
D0687,F0273,54
D0688,F0071,38
D0689,F0031,47
D0690,F0187,34
D0691,F0071,54
D0692,F0258,57
D0693,F0134,41
D0694,F0002,44
D0695,F0286,40
D0696,F0155,45
D0697,F0079,41
D0698,F0204,40
D0699,F0160,46
D0700,F0009,60
D0701,F0228,57
D0702,F0121,42
D0703,F0210,63
D0704,F0269,39
D0705,F0184,62
D0706,F0202,42
D0707,F0077,50
D0708,F0072,39
D0709,F0125,57
D0710,F0256,43
D0711,F0158,60
D0712,F0105,35
D0713,F0234,49
D0714,F0257,38
D0715,F0271,61
D0716,F0090,46
D0717,F0213,54
D0718,F0178,61
D0719,F0135,50
D0720,F0120,34
D0721,F0035,40
D0722,F0083,39
D0723,F0165,62
D0724,F0266,62
D0725,F0260,48
D0726,F0057,61
D0727,F0204,40
D0728,F0026,54
D0729,F0203,45
D0730,F0103,40
D0731,F0135,41
D0732,F0216,46
D0733,F0128,43
D0734,F0243,39
D0735,F0161,43
D0736,F0300,37
D0737,F0192,64
D0738,F0089,45
D0739,F0233,36
D0740,F0123,51
D0741,F0161,61
D0742,F0042,44
D0743,F0036,60
D0744,F0173,52
D0745,F0057,56
D0746,F0300,42
D0747,F0257,34
D0748,F0211,44
D0749,F0221,62
D0750,F0179,58
D0751,F0019,58
D0752,F0118,61
D0753,F0149,44
D0754,F0275,43
D0755,F0066,62
D0756,F0150,51
D0757,F0104,42
D0758,F0041,41
D0759,F0031,61
D0760,F0110,34
D0761,F0025,34
D0762,F0021,56
D0763,F0106,33
D0764,F0061,38
D0765,F0167,64
D0766,F0006,46
D0767,F0091,56
D0768,F0136,48
D0769,F0289,35
D0770,F0191,38
D0771,F0265,57
D0772,F0103,36
D0773,F0135,52
D0774,F0127,44
D0775,F0267,44
D0776,F0288,63
D0777,F0289,52
D0778,F0226,52
D0779,F0151,44
D0780,F0163,45
D0781,F0295,54
D0782,F0086,34
D0783,F0105,40
D0784,F0270,52
D0785,F0116,52
D0786,F0071,35
D0787,F0169,58
D0788,F0098,50
D0789,F0268,40
D0790,F0273,57
D0791,F0092,64
D0792,F0159,46
D0793,F0296,42
D0794,F0223,42
D0795,F0065,51
D0796,F0178,34
D0797,F0186,48
D0798,F0197,33
D0799,F0008,34
D0800,F0090,46
D0801,F0257,56
D0802,F0073,61
D0803,F0090,35
D0804,F0097,40
D0805,F0054,46
D0806,F0047,51
D0807,F0105,64
D0808,F0263,54
D0809,F0001,50
D0810,F0085,34
D0811,F0019,35
D0812,F0169,37
D0813,F0076,54
D0814,F0238,43
D0815,F0176,40
D0816,F0236,54
D0817,F0191,59
D0818,F0132,47
D0819,F0259,61
D0820,F0143,56
D0821,F0285,55
D0822,F0299,60
D0823,F0177,38
D0824,F0203,57
D0825,F0077,63
D0826,F0245,64
D0827,F0202,51
D0828,F0271,57
D0829,F0081,61
D0830,F0237,60
D0831,F0142,61
D0832,F0056,59
D0833,F0052,45
D0834,F0169,56
D0835,F0096,46
D0836,F0031,58
D0837,F0129,58
D0838,F0196,62
D0839,F0096,51
D0840,F0287,48
D0841,F0234,38
D0842,F0154,53
D0843,F0281,51
D0844,F0130,49
D0845,F0042,54
D0846,F0011,60
D0847,F0282,37
D0848,F0288,46
D0849,F0222,56
D0850,F0031,59
D0851,F0089,57
D0852,F0013,58
D0853,F0016,60
D0854,F0074,63
D0855,F0172,52
D0856,F0020,40
D0857,F0296,51
D0858,F0137,55
D0859,F0080,36
D0860,F0155,57
D0861,F0238,50
D0862,F0094,62
D0863,F0015,39
D0864,F0016,62
D0865,F0256,47
D0866,F0034,51
D0867,F0191,54
D0868,F0116,51
D0869,F0234,61
D0870,F0019,38
D0871,F0270,56
D0872,F0210,64
D0873,F0135,40
D0874,F0063,41
D0875,F0294,48
D0876,F0091,56
D0877,F0148,63
D0878,F0119,58
D0879,F0070,58
D0880,F0125,47
D0881,F0046,53
D0882,F0001,39
D0883,F0087,47
D0884,F0034,39
D0885,F0125,33
D0886,F0259,60
D0887,F0049,58
D0888,F0001,49
D0889,F0034,33
D0890,F0153,35
D0891,F0083,36
D0892,F0147,55
D0893,F0009,39
D0894,F0100,41
D0895,F0124,60
D0896,F0130,61
D0897,F0166,57
D0898,F0235,42
D0899,F0141,51
D0900,F0253,39
D0901,F0159,60
D0902,F0079,35
D0903,F0069,56
D0904,F0097,49
D0905,F0180,57
D0906,F0073,47
D0907,F0275,38
D0908,F0144,57
D0909,F0259,53
D0910,F0205,47
D0911,F0101,44
D0912,F0069,44
D0913,F0224,48
D0914,F0100,41
D0915,F0075,42
D0916,F0280,41
D0917,F0145,33
D0918,F0015,62
D0919,F0149,40
D0920,F0139,38
D0921,F0260,37
D0922,F0214,64
D0923,F0058,48
D0924,F0046,43
D0925,F0182,45
D0926,F0015,35
D0927,F0096,43
D0928,F0042,40
D0929,F0007,58
D0930,F0276,34
D0931,F0027,46
D0932,F0003,58
D0933,F0280,59
D0934,F0057,49
D0935,F0245,40
D0936,F0010,43
D0937,F0047,40
D0938,F0034,54
D0939,F0212,42
D0940,F0187,53
D0941,F0143,53
D0942,F0073,63
D0943,F0027,44
D0944,F0171,63
D0945,F0070,45
D0946,F0178,54
D0947,F0207,54
D0948,F0255,59
D0949,F0149,48
D0950,F0002,58
D0951,F0085,44
D0952,F0257,48
D0953,F0160,48
D0954,F0186,55
D0955,F0138,52
D0956,F0049,35
D0957,F0270,58
D0958,F0232,57
D0959,F0299,36
D0960,F0257,63
D0961,F0088,54
D0962,F0077,35
D0963,F0075,48
D0964,F0276,59
D0965,F0168,41
D0966,F0137,62
D0967,F0291,46
D0968,F0182,40
D0969,F0273,44
D0970,F0296,49
D0971,F0024,55
D0972,F0109,62
D0973,F0221,39
D0974,F0244,63
D0975,F0045,49
D0976,F0096,37
D0977,F0165,62
D0978,F0240,44
D0979,F0034,52
D0980,F0181,55
D0981,F0089,33
D0982,F0065,40
D0983,F0155,54
D0984,F0125,43
D0985,F0191,33
D0986,F0096,33
D0987,F0247,59
D0988,F0024,37
D0989,F0259,36
D0990,F0009,50
D0991,F0221,36
D0992,F0104,53
D0993,F0116,50
D0994,F0006,53
D0995,F0211,48
D0996,F0050,57
D0997,F0198,53
D0998,F0218,46
D0999,F0254,33
D1000,F0213,41
D1001,F0091,37
D1002,F0222,33
D1003,F0248,41
D1004,F0096,39
D1005,F0038,35
D1006,F0268,42
D1007,F0045,49
D1008,F0179,38
D1009,F0071,41
D1010,F0038,33
D1011,F0233,34
D1012,F0044,38
D1013,F0202,47
D1014,F0208,54
D1015,F0019,58
D1016,F0052,53
D1017,F0239,52
D1018,F0153,62
D1019,F0037,41
D1020,F0298,58
D1021,F0080,62
D1022,F0002,51
D1023,F0278,59
D1024,F0005,37
D1025,F0167,61
D1026,F0298,51
D1027,F0174,40
D1028,F0176,34
D1029,F0117,56
D1030,F0039,46
D1031,F0172,42
D1032,F0270,45
D1033,F0028,64
D1034,F0265,46
D1035,F0125,35
D1036,F0161,41
D1037,F0050,37
D1038,F0187,54
D1039,F0055,58
D1040,F0082,59
D1041,F0217,53
D1042,F0016,57
D1043,F0135,46
D1044,F0179,53
D1045,F0040,36
D1046,F0089,50
D1047,F0104,50
D1048,F0200,33
D1049,F0294,50
D1050,F0251,56
D1051,F0057,44
D1052,F0006,50
D1053,F0016,42
D1054,F0179,41
D1055,F0047,37
D1056,F0070,43
D1057,F0255,58
D1058,F0263,62
D1059,F0252,53
D1060,F0077,52
D1061,F0186,52
D1062,F0184,48
D1063,F0056,46
D1064,F0167,52
D1065,F0158,58
D1066,F0119,46
D1067,F0226,51
D1068,F0204,48
D1069,F0160,42
D1070,F0218,42
D1071,F0229,35
D1072,F0171,47
D1073,F0081,55
D1074,F0228,54
D1075,F0216,64
D1076,F0296,34
D1077,F0045,57
D1078,F0126,58
D1079,F0278,46
D1080,F0155,42
D1081,F0283,44
D1082,F0004,54
D1083,F0011,60
D1084,F0239,53
D1085,F0108,49
D1086,F0157,53
D1087,F0129,35
D1088,F0123,52
D1089,F0282,34
D1090,F0029,63
D1091,F0232,61
D1092,F0267,49
D1093,F0198,44
D1094,F0119,56
D1095,F0049,53
D1096,F0205,55
D1097,F0141,49
D1098,F0045,40
D1099,F0108,35
D1100,F0289,42
D1101,F0080,49
D1102,F0054,46
D1103,F0205,49
D1104,F0060,41
D1105,F0276,63
D1106,F0258,44
D1107,F0296,60
D1108,F0274,45
D1109,F0074,47
D1110,F0064,52
D1111,F0103,41
D1112,F0141,40
D1113,F0264,45
D1114,F0221,58
D1115,F0194,37
D1116,F0264,47
D1117,F0194,54
D1118,F0114,55
D1119,F0124,46
D1120,F0156,35
D1121,F0027,33
D1122,F0223,48
D1123,F0196,58
D1124,F0220,33
D1125,F0161,61
D1126,F0235,54
D1127,F0285,33
D1128,F0171,43
D1129,F0134,40
D1130,F0032,63
D1131,F0234,50
D1132,F0272,43
D1133,F0210,41
D1134,F0260,51
D1135,F0259,33
D1136,F0240,41
D1137,F0151,38
D1138,F0030,52
D1139,F0001,54
D1140,F0062,47
D1141,F0130,37
D1142,F0224,44
D1143,F0137,59
D1144,F0007,39
D1145,F0064,38
D1146,F0294,36
D1147,F0297,59
D1148,F0114,36
D1149,F0242,51
D1150,F0216,64
D1151,F0280,53
D1152,F0267,46
D1153,F0189,39
D1154,F0119,33
D1155,F0188,37
D1156,F0096,63
D1157,F0105,37
D1158,F0183,33
D1159,F0172,59
D1160,F0175,46
D1161,F0116,44
D1162,F0123,55
D1163,F0004,49
D1164,F0181,62
D1165,F0173,47
D1166,F0281,55
D1167,F0152,61
D1168,F0141,47
D1169,F0021,42
D1170,F0060,64
D1171,F0102,40
D1172,F0114,34
D1173,F0109,51
D1174,F0119,64
D1175,F0231,35
D1176,F0040,60
D1177,F0100,59
D1178,F0049,62
D1179,F0093,46
D1180,F0206,41
D1181,F0015,49
D1182,F0102,37
D1183,F0008,59
D1184,F0287,54
D1185,F0219,48
D1186,F0074,49
D1187,F0060,55
D1188,F0030,49
D1189,F0142,59
D1190,F0227,62
D1191,F0176,63
D1192,F0265,52
D1193,F0104,56
D1194,F0084,42
D1195,F0144,34
D1196,F0061,45
D1197,F0293,60
D1198,F0056,37
D1199,F0144,50
D1200,F0157,39
D1201,F0018,46
D1202,F0141,37
D1203,F0137,56
D1204,F0078,58
D1205,F0039,57
D1206,F0014,55
D1207,F0003,40
D1208,F0145,49
D1209,F0027,36
D1210,F0288,44
D1211,F0074,49
D1212,F0196,54
D1213,F0203,36
D1214,F0149,59
D1215,F0266,47
D1216,F0034,61
D1217,F0071,49
D1218,F0076,50
D1219,F0041,55
D1220,F0089,59
D1221,F0094,38
D1222,F0230,49
D1223,F0091,33
D1224,F0264,48
D1225,F0232,59
D1226,F0271,60
D1227,F0032,42
D1228,F0296,45
D1229,F0185,50
D1230,F0295,45
D1231,F0107,38
D1232,F0286,42
D1233,F0177,45
D1234,F0022,49
D1235,F0124,62
D1236,F0042,50
D1237,F0283,45
D1238,F0092,54
D1239,F0067,57
D1240,F0166,46
D1241,F0128,48
D1242,F0030,39
D1243,F0245,60
D1244,F0254,60
D1245,F0223,38
D1246,F0186,44
D1247,F0121,41
D1248,F0163,62
D1249,F0157,35
D1250,F0050,39
D1251,F0025,43
D1252,F0076,50
D1253,F0137,40
D1254,F0049,50
D1255,F0033,56
D1256,F0256,59
D1257,F0113,36
D1258,F0176,37
D1259,F0158,36
D1260,F0221,62
D1261,F0222,53
D1262,F0089,50
D1263,F0255,58
D1264,F0112,51
D1265,F0251,40
D1266,F0122,49
D1267,F0034,55
D1268,F0229,34
D1269,F0010,52
D1270,F0232,48
D1271,F0013,35
D1272,F0063,41
D1273,F0182,47
D1274,F0283,43
D1275,F0123,42
D1276,F0037,53
D1277,F0070,45
D1278,F0269,48
D1279,F0219,58
D1280,F0031,35
D1281,F0116,44
D1282,F0080,35
D1283,F0054,62
D1284,F0254,38
D1285,F0186,59
D1286,F0054,39
D1287,F0196,43
D1288,F0125,52
D1289,F0019,59
D1290,F0135,38
D1291,F0056,39
D1292,F0074,61
D1293,F0264,43
D1294,F0214,39
D1295,F0041,56
D1296,F0256,35
D1297,F0173,60
D1298,F0263,61
D1299,F0225,60
D1300,F0102,42
D1301,F0161,36
D1302,F0160,46
D1303,F0216,43
D1304,F0075,63
D1305,F0100,53
D1306,F0074,63
D1307,F0089,57
D1308,F0049,55
D1309,F0011,36
D1310,F0283,35
D1311,F0023,34
D1312,F0267,51
D1313,F0001,39
D1314,F0234,64
D1315,F0099,37
D1316,F0156,63
D1317,F0085,54
D1318,F0148,36
D1319,F0136,34
D1320,F0159,45
D1321,F0118,43
D1322,F0161,43
D1323,F0248,49
D1324,F0131,37
D1325,F0109,37
D1326,F0040,55
D1327,F0108,64
D1328,F0038,41
D1329,F0055,62
D1330,F0286,44
D1331,F0027,43
D1332,F0145,35
D1333,F0251,46
D1334,F0286,48
D1335,F0045,54
D1336,F0050,38
D1337,F0112,39
D1338,F0167,46
D1339,F0288,35
D1340,F0063,37
D1341,F0050,53
D1342,F0076,63
D1343,F0263,51
D1344,F0010,37
D1345,F0115,64
D1346,F0036,49
D1347,F0048,55
D1348,F0276,39
D1349,F0001,51
D1350,F0097,35
D1351,F0275,53
D1352,F0183,39
D1353,F0022,62
D1354,F0140,34
D1355,F0292,53
D1356,F0121,37
D1357,F0159,54
D1358,F0160,48
D1359,F0199,63
D1360,F0057,53
D1361,F0252,44
D1362,F0297,35
D1363,F0043,52
D1364,F0246,47
D1365,F0246,34
D1366,F0223,51
D1367,F0112,39
D1368,F0141,40
D1369,F0252,33
D1370,F0046,44
D1371,F0249,39
D1372,F0277,35
D1373,F0205,46
D1374,F0103,40
D1375,F0168,37
D1376,F0016,47
D1377,F0280,35
D1378,F0103,64
D1379,F0018,48
D1380,F0239,64
D1381,F0198,61
D1382,F0187,64
D1383,F0017,50
D1384,F0226,46
D1385,F0192,56
D1386,F0239,35
D1387,F0249,59
D1388,F0064,43
D1389,F0064,33
D1390,F0278,40
D1391,F0160,40
D1392,F0132,33
D1393,F0087,54
D1394,F0192,36
D1395,F0227,60
D1396,F0001,47
D1397,F0166,55
