product_id,channel,alpha,beta_m,ec_m,eta_m,mr_time_weight,slope_m
REV,面談_アポ,0.82,880,430,1.08,1.3,1.0
REV,説明会,0.62,530,300,0.74,2.0,1.0
REV,Web講演会,0.57,350,360,0.56,0.3,1.0
REV,Webinar,0.47,240,440,0.46,0.2,1.0
REV,e-contents,0.27,180,580,0.36,0.0,1.0
REV,メール,0.13,90,180,0.27,0.0,1.0
ALC,面談,0.70,580,460,0.82,1.0,1.0
ALC,面談_アポ,0.80,730,345,0.98,1.3,1.0
ALC,説明会,0.60,435,245,0.68,2.0,1.0
ALC,Web講演会,0.55,290,300,0.52,0.3,1.0
ALC,Webinar,0.45,195,360,0.43,0.2,1.0
ALC,e-contents,0.25,145,480,0.34,0.0,1.0
ALC,メール,0.12,73,150,0.25,0.0,1.0
VYV,面談,0.72,700,580,0.90,1.0,1.0
VYV,面談_アポ,0.82,880,435,1.08,1.3,1.0
VYV,説明会,0.62,530,310,0.74,2.0,1.0
VYV,Web講演会,0.57,350,370,0.56,0.3,1.0
VYV,Webinar,0.47,235,445,0.46,0.2,1.0
VYV,e-contents,0.27,175,590,0.36,0.0,1.0
VYV,メール,0.13,88,185,0.27,0.0,1.0
VPR,面談,0.72,700,580,0.90,1.0,1.0
VPR,面談_アポ,0.82,880,435,1.08,1.3,1.0
VPR,説明会,0.62,530,310,0.74,2.0,1.0
VPR,Web講演会,0.57,350,370,0.56,0.3,1.0
VPR,Webinar,0.47,235,445,0.46,0.2,1.0
VPR,e-contents,0.27,175,590,0.36,0.0,1.0
VPR,メール,0.13,88,185,0.27,0.0,1.0
LVM,面談,0.68,380,180,0.72,1.0,1.0
LVM,面談_アポ,0.78,480,135,0.88,1.3,1.0
LVM,説明会,0.58,285,95,0.60,2.0,1.0
LVM,Web講演会,0.52,190,120,0.44,0.3,1.0
LVM,Webinar,0.42,130,145,0.36,0.2,1.0
LVM,e-contents,0.22,95,190,0.28,0.0,1.0
LVM,メール,0.10,48,80,0.20,0.0,1.0
TKZ,面談,0.68,330,160,0.70,1.0,1.0
TKZ,面談_アポ,0.78,415,120,0.85,1.3,1.0
TKZ,説明会,0.58,248,85,0.58,2.0,1.0
TKZ,Web講演会,0.52,165,105,0.43,0.3,1.0
TKZ,Webinar,0.42,112,128,0.35,0.2,1.0
TKZ,e-contents,0.22,84,168,0.27,0.0,1.0
TKZ,メール,0.10,42,70,0.19,0.0,1.0
RPL,面談,0.68,380,185,0.72,1.0,1.0
RPL,面談_アポ,0.78,480,138,0.88,1.3,1.0
RPL,説明会,0.58,285,98,0.60,2.0,1.0
RPL,Web講演会,0.52,190,122,0.44,0.3,1.0
RPL,Webinar,0.42,130,148,0.36,0.2,1.0
RPL,e-contents,0.22,95,196,0.28,0.0,1.0
RPL,メール,0.10,48,82,0.20,0.0,1.0
VON,面談,0.68,360,175,0.71,1.0,1.0
VON,面談_アポ,0.78,452,131,0.87,1.3,1.0
VON,説明会,0.58,270,92,0.59,2.0,1.0
VON,Web講演会,0.52,180,115,0.43,0.3,1.0
VON,Webinar,0.42,122,138,0.35,0.2,1.0
VON,e-contents,0.22,90,183,0.27,0.0,1.0
VON,メール,0.10,45,76,0.19,0.0,1.0
GLO,面談,0.68,550,380,0.78,1.0,1.0
GLO,面談_アポ,0.78,690,285,0.93,1.3,1.0
GLO,説明会,0.58,412,190,0.64,2.0,1.0
GLO,Web講演会,0.54,275,240,0.48,0.3,1.0
GLO,Webinar,0.44,183,290,0.39,0.2,1.0
GLO,e-contents,0.24,138,386,0.31,0.0,1.0
GLO,メール,0.11,69,128,0.23,0.0,1.0
OVE,面談,0.70,680,280,0.85,1.0,1.0
OVE,面談_アポ,0.80,850,210,1.00,1.3,1.0
OVE,説明会,0.60,510,140,0.70,2.0,1.0
OVE,Web講演会,0.56,340,175,0.54,0.3,1.0
OVE,Webinar,0.46,226,210,0.44,0.2,1.0
OVE,e-contents,0.26,170,280,0.34,0.0,1.0
OVE,メール,0.12,85,115,0.25,0.0,1.0
Zaso,面談,0.72,780,560,0.88,1.0,1.0
Zaso,面談_アポ,0.82,975,420,1.05,1.3,1.0
Zaso,説明会,0.62,585,280,0.72,2.0,1.0
Zaso,Web講演会,0.58,390,350,0.56,0.3,1.0
Zaso,Webinar,0.48,260,420,0.46,0.2,1.0
Zaso,e-contents,0.28,195,560,0.36,0.0,1.0
Zaso,メール,0.13,98,186,0.27,0.0,1.0
WSA,面談,0.72,680,490,0.86,1.0,1.0
WSA,面談_アポ,0.82,850,367,1.03,1.3,1.0
WSA,説明会,0.62,510,245,0.70,2.0,1.0
WSA,Web講演会,0.57,340,306,0.54,0.3,1.0
WSA,Webinar,0.47,226,368,0.44,0.2,1.0
WSA,e-contents,0.27,170,490,0.35,0.0,1.0
WSA,メール,0.12,85,163,0.26,0.0,1.0
