facility_id,facility_name,prefecture,region
F0051,医療機関0051,東京都,関東
F0052,医療機関0052,北海道,北海道・東北
F0053,医療機関0053,兵庫県,近畿
F0054,医療機関0054,大阪府,近畿
F0055,医療機関0055,大阪府,近畿
F0056,医療機関0056,兵庫県,近畿
F0057,医療機関0057,千葉県,関東
F0058,医療機関0058,愛知県,中部
F0059,医療機関0059,東京都,関東
F0060,医療機関0060,東京都,関東
F0061,医療機関0061,大阪府,近畿
F0062,医療機関0062,千葉県,関東
F0063,医療機関0063,愛知県,中部
F0064,医療機関0064,兵庫県,近畿
F0065,医療機関0065,大阪府,近畿
F0066,医療機関0066,愛知県,中部
F0067,医療機関0067,愛知県,中部
F0068,医療機関0068,神奈川県,関東
F0069,医療機関0069,北海道,北海道・東北
F0070,医療機関0070,千葉県,関東
F0071,医療機関0071,東京都,関東
F0072,医療機関0072,埼玉県,関東
F0073,医療機関0073,京都府,近畿
F0074,医療機関0074,神奈川県,関東
F0075,医療機関0075,宮城県,北海道・東北
F0076,医療機関0076,神奈川県,関東
F0077,医療機関0077,神奈川県,関東
F0078,医療機関0078,大阪府,近畿
F0079,医療機関0079,愛知県,中部
F0080,医療機関0080,兵庫県,近畿
F0081,医療機関0081,大阪府,近畿
F0082,医療機関0082,埼玉県,関東
F0083,医療機関0083,京都府,近畿
F0084,医療機関0084,東京都,関東
F0085,医療機関0085,北海道,北海道・東北
F0086,医療機関0086,東京都,関東
F0087,医療機関0087,大阪府,近畿
F0088,医療機関0088,千葉県,関東
F0089,医療機関0089,東京都,関東
F0090,医療機関0090,愛知県,中部
F0091,医療機関0091,東京都,関東
F0092,医療機関0092,大阪府,近畿
F0093,医療機関0093,千葉県,関東
F0094,医療機関0094,埼玉県,関東
F0095,医療機関0095,神奈川県,関東
F0096,医療機関0096,大阪府,近畿
F0097,医療機関0097,埼玉県,関東
F0098,医療機関0098,東京都,関東
F0099,医療機関0099,東京都,関東
F0100,医療機関0100,福岡県,九州・沖縄
F0101,医療機関0101,福岡県,九州・沖縄
F0102,医療機関0102,大阪府,近畿
F0103,医療機関0103,神奈川県,関東
F0104,医療機関0104,福岡県,九州・沖縄
F0105,医療機関0105,兵庫県,近畿
F0106,医療機関0106,大阪府,近畿
F0107,医療機関0107,千葉県,関東
F0108,医療機関0108,神奈川県,関東
F0109,医療機関0109,東京都,関東
F0110,医療機関0110,広島県,中国・四国
F0111,医療機関0111,千葉県,関東
F0112,医療機関0112,東京都,関東
F0113,医療機関0113,神奈川県,関東
F0114,医療機関0114,静岡県,中部
F0115,医療機関0115,東京都,関東
F0116,医療機関0116,京都府,近畿
F0117,医療機関0117,兵庫県,近畿
F0118,医療機関0118,大阪府,近畿
F0119,医療機関0119,千葉県,関東
F0120,医療機関0120,大阪府,近畿
F0121,医療機関0121,静岡県,中部
F0122,医療機関0122,大阪府,近畿
F0123,医療機関0123,東京都,関東
F0124,医療機関0124,千葉県,関東
F0125,医療機関0125,宮城県,北海道・東北
F0126,医療機関0126,愛知県,中部
F0127,医療機関0127,神奈川県,関東
F0128,医療機関0128,東京都,関東
F0129,医療機関0129,東京都,関東
F0130,医療機関0130,静岡県,中部
F0131,医療機関0131,東京都,関東
F0132,医療機関0132,福岡県,九州・沖縄
F0133,医療機関0133,静岡県,中部
F0134,医療機関0134,埼玉県,関東
F0135,医療機関0135,静岡県,中部
F0136,医療機関0136,北海道,北海道・東北
F0137,医療機関0137,福岡県,九州・沖縄
F0138,医療機関0138,愛知県,中部
F0139,医療機関0139,兵庫県,近畿
F0140,医療機関0140,東京都,関東
F0141,医療機関0141,愛知県,中部
F0142,医療機関0142,愛知県,中部
F0143,医療機関0143,福岡県,九州・沖縄
F0144,医療機関0144,愛知県,中部
F0145,医療機関0145,千葉県,関東
F0146,医療機関0146,神奈川県,関東
F0147,医療機関0147,神奈川県,関東
F0148,医療機関0148,愛知県,中部
F0149,医療機関0149,千葉県,関東
F0150,医療機関0150,北海道,北海道・東北
F0151,医療機関0151,京都府,近畿
F0152,医療機関0152,広島県,中国・四国
F0153,医療機関0153,東京都,関東
F0154,医療機関0154,愛知県,中部
F0155,医療機関0155,東京都,関東
F0156,医療機関0156,大阪府,近畿
F0157,医療機関0157,神奈川県,関東
F0158,医療機関0158,大阪府,近畿
F0159,医療機関0159,大阪府,近畿
F0160,医療機関0160,兵庫県,近畿
F0161,医療機関0161,東京都,関東
F0162,医療機関0162,福岡県,九州・沖縄
F0163,医療機関0163,東京都,関東
F0164,医療機関0164,北海道,北海道・東北
F0165,医療機関0165,愛知県,中部
F0166,医療機関0166,埼玉県,関東
F0167,医療機関0167,京都府,近畿
F0168,医療機関0168,京都府,近畿
F0169,医療機関0169,神奈川県,関東
F0170,医療機関0170,福岡県,九州・沖縄
F0171,医療機関0171,神奈川県,関東
F0172,医療機関0172,愛知県,中部
F0173,医療機関0173,神奈川県,関東
F0174,医療機関0174,福岡県,九州・沖縄
F0175,医療機関0175,東京都,関東
F0176,医療機関0176,宮城県,北海道・東北
F0177,医療機関0177,千葉県,関東
F0178,医療機関0178,熊本県,九州・沖縄
F0179,医療機関0179,広島県,中国・四国
F0180,医療機関0180,兵庫県,近畿
F0181,医療機関0181,広島県,中国・四国
F0182,医療機関0182,広島県,中国・四国
F0183,医療機関0183,愛知県,中部
F0184,医療機関0184,神奈川県,関東
F0185,医療機関0185,兵庫県,近畿
F0186,医療機関0186,大阪府,近畿
F0187,医療機関0187,埼玉県,関東
F0188,医療機関0188,東京都,関東
F0189,医療機関0189,兵庫県,近畿
F0190,医療機関0190,神奈川県,関東
F0191,医療機関0191,福岡県,九州・沖縄
F0192,医療機関0192,神奈川県,関東
F0193,医療機関0193,東京都,関東
F0194,医療機関0194,京都府,近畿
F0195,医療機関0195,東京都,関東
F0196,医療機関0196,東京都,関東
F0197,医療機関0197,静岡県,中部
F0198,医療機関0198,広島県,中国・四国
F0199,医療機関0199,東京都,関東
F0200,医療機関0200,神奈川県,関東
F0201,医療機関0201,兵庫県,近畿
F0202,医療機関0202,福岡県,九州・沖縄
F0203,医療機関0203,愛知県,中部
F0204,医療機関0204,東京都,関東
F0205,医療機関0205,北海道,北海道・東北
F0206,医療機関0206,東京都,関東
F0207,医療機関0207,東京都,関東
F0208,医療機関0208,大阪府,近畿
F0209,医療機関0209,東京都,関東
F0210,医療機関0210,愛知県,中部
F0211,医療機関0211,大阪府,近畿
F0212,医療機関0212,静岡県,中部
F0213,医療機関0213,東京都,関東
F0214,医療機関0214,兵庫県,近畿
F0215,医療機関0215,大阪府,近畿
F0216,医療機関0216,大阪府,近畿
F0217,医療機関0217,東京都,関東
F0218,医療機関0218,東京都,関東
F0219,医療機関0219,福岡県,九州・沖縄
F0220,医療機関0220,埼玉県,関東
F0221,医療機関0221,神奈川県,関東
F0222,医療機関0222,愛知県,中部
F0223,医療機関0223,大阪府,近畿
F0224,医療機関0224,福岡県,九州・沖縄
F0225,医療機関0225,神奈川県,関東
F0226,医療機関0226,福岡県,九州・沖縄
F0227,医療機関0227,北海道,北海道・東北
F0228,医療機関0228,愛知県,中部
F0229,医療機関0229,大阪府,近畿
F0230,医療機関0230,東京都,関東
F0231,医療機関0231,東京都,関東
F0232,医療機関0232,千葉県,関東
F0233,医療機関0233,福岡県,九州・沖縄
F0234,医療機関0234,静岡県,中部
F0235,医療機関0235,福岡県,九州・沖縄
F0236,医療機関0236,兵庫県,近畿
F0237,医療機関0237,千葉県,関東
F0238,医療機関0238,兵庫県,近畿
F0239,医療機関0239,北海道,北海道・東北
F0240,医療機関0240,東京都,関東
F0241,医療機関0241,京都府,近畿
F0242,医療機関0242,兵庫県,近畿
F0243,医療機関0243,東京都,関東
F0244,医療機関0244,愛知県,中部
F0245,医療機関0245,静岡県,中部
F0246,医療機関0246,広島県,中国・四国
F0247,医療機関0247,静岡県,中部
F0248,医療機関0248,千葉県,関東
F0249,医療機関0249,埼玉県,関東
F0250,医療機関0250,千葉県,関東
F0251,医療機関0251,大阪府,近畿
F0252,医療機関0252,広島県,中国・四国
F0253,医療機関0253,千葉県,関東
F0254,医療機関0254,神奈川県,関東
F0255,医療機関0255,神奈川県,関東
F0256,医療機関0256,兵庫県,近畿
F0257,医療機関0257,京都府,近畿
F0258,医療機関0258,東京都,関東
F0259,医療機関0259,宮城県,北海道・東北
F0260,医療機関0260,静岡県,中部
F0261,医療機関0261,東京都,関東
F0262,医療機関0262,京都府,近畿
F0263,医療機関0263,神奈川県,関東
F0264,医療機関0264,東京都,関東
F0265,医療機関0265,福岡県,九州・沖縄
F0266,医療機関0266,東京都,関東
F0267,医療機関0267,神奈川県,関東
F0268,医療機関0268,東京都,関東
F0269,医療機関0269,東京都,関東
F0270,医療機関0270,北海道,北海道・東北
F0271,医療機関0271,宮城県,北海道・東北
F0272,医療機関0272,東京都,関東
F0273,医療機関0273,宮城県,北海道・東北
F0274,医療機関0274,静岡県,中部
F0275,医療機関0275,大阪府,近畿
F0276,医療機関0276,埼玉県,関東
F0277,医療機関0277,神奈川県,関東
F0278,医療機関0278,愛知県,中部
F0279,医療機関0279,広島県,中国・四国
F0280,医療機関0280,京都府,近畿
F0281,医療機関0281,宮城県,北海道・東北
F0282,医療機関0282,東京都,関東
F0283,医療機関0283,神奈川県,関東
F0284,医療機関0284,神奈川県,関東
F0285,医療機関0285,愛知県,中部
F0286,医療機関0286,千葉県,関東
F0287,医療機関0287,宮城県,北海道・東北
F0288,医療機関0288,埼玉県,関東
F0289,医療機関0289,愛知県,中部
F0290,医療機関0290,東京都,関東
F0291,医療機関0291,京都府,近畿
F0292,医療機関0292,宮城県,北海道・東北
F0293,医療機関0293,福岡県,九州・沖縄
F0294,医療機関0294,東京都,関東
F0295,医療機関0295,京都府,近畿
F0296,医療機関0296,広島県,中国・四国
F0297,医療機関0297,熊本県,九州・沖縄
F0298,医療機関0298,兵庫県,近畿
F0299,医療機関0299,兵庫県,近畿
F0300,医療機関0300,大阪府,近畿
