product_id,channel,alpha,beta_m,ec_m,eta_m,mr_time_weight,slope_m
VYV,Webinar,0.47,235,445,0.46,0.2,1
VYV,e-contents,0.27,175,590,0.36,0,1
VYV,メール,0.13,88,185,0.27,0,1
VPR,面談,0.72,700,580,0.9,1,1
VPR,面談_アポ,0.82,880,435,1.08,1.3,1
VPR,説明会,0.62,530,310,0.74,2,1
VPR,Web講演会,0.57,350,370,0.56,0.3,1
VPR,Webinar,0.47,235,445,0.46,0.2,1
VPR,e-contents,0.27,175,590,0.36,0,1
VPR,メール,0.13,88,185,0.27,0,1
LVM,面談,0.68,380,180,0.72,1,1
LVM,面談_アポ,0.78,480,135,0.88,1.3,1
LVM,説明会,0.58,285,95,0.6,2,1
LVM,Web講演会,0.52,190,120,0.44,0.3,1
LVM,Webinar,0.42,130,145,0.36,0.2,1
LVM,e-contents,0.22,95,190,0.28,0,1
LVM,メール,0.1,48,80,0.2,0,1
TKZ,面談,0.68,330,160,0.7,1,1
TKZ,面談_アポ,0.78,415,120,0.85,1.3,1
TKZ,説明会,0.58,248,85,0.58,2,1
TKZ,Web講演会,0.52,165,105,0.43,0.3,1
TKZ,Webinar,0.42,112,128,0.35,0.2,1
TKZ,e-contents,0.22,84,168,0.27,0,1
TKZ,メール,0.1,42,70,0.19,0,1
RPL,面談,0.68,380,185,0.72,1,1
RPL,面談_アポ,0.78,480,138,0.88,1.3,1
RPL,説明会,0.58,285,98,0.6,2,1
RPL,Web講演会,0.52,190,122,0.44,0.3,1
RPL,Webinar,0.42,130,148,0.36,0.2,1
RPL,e-contents,0.22,95,196,0.28,0,1
RPL,メール,0.1,48,82,0.2,0,1
VON,面談,0.68,360,175,0.71,1,1
VON,面談_アポ,0.78,452,131,0.87,1.3,1
VON,説明会,0.58,270,92,0.59,2,1
VON,Web講演会,0.52,180,115,0.43,0.3,1
VON,Webinar,0.42,122,138,0.35,0.2,1
VON,e-contents,0.22,90,183,0.27,0,1
VON,メール,0.1,45,76,0.19,0,1
GLO,面談,0.68,550,380,0.78,1,1
GLO,面談_アポ,0.78,690,285,0.93,1.3,1
GLO,説明会,0.58,412,190,0.64,2,1
GLO,Web講演会,0.54,275,240,0.48,0.3,1
GLO,Webinar,0.44,183,290,0.39,0.2,1
GLO,e-contents,0.24,138,386,0.31,0,1
GLO,メール,0.11,69,128,0.23,0,1
OVE,面談,0.7,680,280,0.85,1,1
OVE,面談_アポ,0.8,850,210,1,1.3,1
OVE,説明会,0.6,510,140,0.7,2,1
OVE,Web講演会,0.56,340,175,0.54,0.3,1
OVE,Webinar,0.46,226,210,0.44,0.2,1
OVE,e-contents,0.26,170,280,0.34,0,1
OVE,メール,0.12,85,115,0.25,0,1
Zaso,面談,0.72,780,560,0.88,1,1
Zaso,面談_アポ,0.82,975,420,1.05,1.3,1
Zaso,説明会,0.62,585,280,0.72,2,1
Zaso,Web講演会,0.58,390,350,0.56,0.3,1
Zaso,Webinar,0.48,260,420,0.46,0.2,1
Zaso,e-contents,0.28,195,560,0.36,0,1
Zaso,メール,0.13,98,186,0.27,0,1
Meza,面談,0.72,680,490,0.86,1,1
Meza,面談_アポ,0.82,850,367,1.03,1.3,1
Meza,説明会,0.62,510,245,0.7,2,1
Meza,Web講演会,0.57,340,306,0.54,0.3,1
Meza,Webinar,0.47,226,368,0.44,0.2,1
Meza,e-contents,0.27,170,490,0.35,0,1
Meza,メール,0.12,85,163,0.26,0,1
TAK881,面談,0.72,730,520,0.9,1,1
TAK881,面談_アポ,0.82,920,395,1.07,1.3,1
TAK881,説明会,0.62,550,295,0.73,2,1
TAK881,Web講演会,0.57,368,368,0.53,0.3,1
TAK881,Webinar,0.47,250,440,0.43,0.2,1
TAK881,e-contents,0.27,190,585,0.35,0,1
TAK881,メール,0.12,95,167,0.26,0,1
FIR,面談,0.66,300,145,0.68,1,1
FIR,面談_アポ,0.76,378,109,0.83,1.3,1
FIR,説明会,0.56,225,77,0.56,2,1
FIR,Web講演会,0.50,150,95,0.41,0.3,1
FIR,Webinar,0.40,102,116,0.33,0.2,1
FIR,e-contents,0.20,76,153,0.25,0,1
FIR,メール,0.10,38,63,0.18,0,1
FEI,面談,0.67,345,168,0.70,1,1
FEI,面談_アポ,0.77,434,126,0.85,1.3,1
FEI,説明会,0.57,260,88,0.58,2,1
FEI,Web講演会,0.51,173,110,0.42,0.3,1
FEI,Webinar,0.41,117,132,0.34,0.2,1
FEI,e-contents,0.21,87,175,0.26,0,1
FEI,メール,0.10,43,73,0.19,0,1
OBI,面談,0.65,320,185,0.68,1,1
OBI,面談_アポ,0.75,400,139,0.83,1.3,1
OBI,説明会,0.55,240,97,0.56,2,1
OBI,Web講演会,0.50,160,121,0.41,0.3,1
OBI,Webinar,0.40,108,145,0.33,0.2,1
OBI,e-contents,0.20,80,193,0.25,0,1
OBI,メール,0.10,40,81,0.18,0,1
ADV,面談,0.65,280,160,0.68,1,1
ADV,面談_アポ,0.75,352,120,0.82,1.3,1
ADV,説明会,0.55,210,85,0.55,2,1
ADV,Web講演会,0.50,140,106,0.40,0.3,1
ADV,Webinar,0.40,95,127,0.32,0.2,1
ADV,e-contents,0.20,71,169,0.25,0,1
ADV,メール,0.10,36,71,0.17,0,1
ADY,面談,0.68,370,178,0.71,1,1
ADY,面談_アポ,0.78,465,133,0.87,1.3,1
ADY,説明会,0.58,278,94,0.59,2,1
ADY,Web講演会,0.52,185,118,0.43,0.3,1
ADY,Webinar,0.42,125,141,0.35,0.2,1
ADY,e-contents,0.22,93,187,0.27,0,1
ADY,メール,0.10,46,78,0.19,0,1
SYN,面談,0.72,760,550,0.87,1,1
SYN,面談_アポ,0.82,950,412,1.04,1.3,1
SYN,説明会,0.62,570,275,0.71,2,1
SYN,Web講演会,0.57,380,344,0.55,0.3,1
SYN,Webinar,0.47,253,412,0.45,0.2,1
SYN,e-contents,0.27,190,549,0.35,0,1
SYN,メール,0.12,95,182,0.26,0,1
KLR,面談,0.70,600,520,0.88,1,1
KLR,面談_アポ,0.80,750,390,1.05,1.3,1
KLR,説明会,0.60,450,260,0.72,2,1
KLR,Web講演会,0.56,300,325,0.55,0.3,1
KLR,Webinar,0.46,200,390,0.45,0.2,1
KLR,e-contents,0.26,150,520,0.36,0,1
KLR,メール,0.12,75,172,0.27,0,1
