product_id,half_period,solo_fc,solo_sc,solo_spc,solo_other,nonsolo_fc,nonsolo_sc,nonsolo_spc,nonsolo_other
TRI,FY2025-H1,0.4557,0.0489,0.037,0.0208,0.2996,0.0636,0.0554,0.019
TRI,FY2025-H2,0.4574,0.0578,0.0406,0.0125,0.276,0.079,0.0451,0.0316
TRI,FY2026-H1,0.4588,0.0451,0.0546,0.0243,0.2638,0.0727,0.045,0.0357
ENT,FY2024-H1,0.4514,0.05,0.0442,0.0265,0.2758,0.0789,0.0474,0.0258
ENT,FY2024-H2,0.4554,0.0517,0.0305,0.0259,0.2886,0.0834,0.0385,0.026
ENT,FY2025-H1,0.4755,0.0461,0.0441,0.026,0.2798,0.0773,0.0279,0.0233
ENT,FY2025-H2,0.461,0.0416,0.0519,0.0101,0.2792,0.0755,0.0606,0.0201
ENT,FY2026-H1,0.4685,0.0499,0.033,0.0232,0.2804,0.0676,0.0503,0.0271
OVE,FY2024-H1,0.4454,0.0243,0.0604,0.0112,0.3408,0.0359,0.0483,0.0337
OVE,FY2024-H2,0.4581,0.0157,0.0489,0.0167,0.3281,0.0543,0.0529,0.0253
OVE,FY2025-H1,0.4531,0.0217,0.0546,0.0239,0.3177,0.0412,0.0541,0.0337
OVE,FY2025-H2,0.4512,0.0205,0.058,0.0156,0.3282,0.0419,0.0477,0.0369
OVE,FY2026-H1,0.4547,0.025,0.0575,0.0196,0.3254,0.0387,0.0508,0.0283
Zaso,FY2024-H1,0.4454,0.0239,0.0438,0.0342,0.3192,0.041,0.0574,0.0351
Zaso,FY2024-H2,0.4551,0.0243,0.0497,0.0137,0.3289,0.043,0.0565,0.0288
Zaso,FY2025-H1,0.4561,0.018,0.0536,0.0163,0.3285,0.0483,0.0524,0.0268
Zaso,FY2025-H2,0.4616,0.0219,0.0404,0.0103,0.3291,0.0431,0.0528,0.0408
Zaso,FY2026-H1,0.4699,0.019,0.0501,0.013,0.3312,0.0401,0.0525,0.0242
REV,FY2024-H1,0.3761,0.0791,0.0385,0.0224,0.3282,0.0757,0.0506,0.0294
REV,FY2024-H2,0.3738,0.0629,0.0391,0.0229,0.3314,0.0825,0.0634,0.024
REV,FY2025-H1,0.3959,0.072,0.0559,0.0145,0.3273,0.0725,0.0355,0.0264
REV,FY2025-H2,0.3784,0.0701,0.0418,0.0327,0.332,0.069,0.0431,0.0329
REV,FY2026-H1,0.376,0.0814,0.0474,0.0164,0.3124,0.08,0.0483,0.0381
ALC,FY2024-H1,0.3772,0.0673,0.0409,0.0208,0.3343,0.0863,0.0435,0.0297
ALC,FY2024-H2,0.3847,0.0738,0.0451,0.0122,0.32,0.0871,0.0524,0.0247
ALC,FY2025-H1,0.3765,0.0672,0.0458,0.0194,0.3267,0.0838,0.0458,0.0348
ALC,FY2025-H2,0.3984,0.0806,0.0337,0.0251,0.3416,0.0625,0.0422,0.0159
ALC,FY2026-H1,0.3872,0.0745,0.0501,0.0204,0.3388,0.0619,0.0378,0.0293
VYV,FY2024-H1,0.5135,0.0406,0.0363,0.0198,0.2461,0.0763,0.0435,0.0239
VYV,FY2024-H2,0.5077,0.0331,0.0504,0.0271,0.2472,0.0727,0.0369,0.0249
VYV,FY2025-H1,0.5091,0.033,0.0465,0.0117,0.2658,0.0668,0.0354,0.0317
VYV,FY2025-H2,0.5162,0.0391,0.0552,0.0257,0.2502,0.0609,0.0387,0.014
VYV,FY2026-H1,0.4783,0.0473,0.0587,0.0174,0.2423,0.0612,0.0587,0.0361
LVM,FY2024-H1,0.6062,0.0139,0.072,0.0224,0.2038,0.021,0.0371,0.0236
LVM,FY2024-H2,0.5729,0.0252,0.077,0.0292,0.1932,0.0212,0.0488,0.0325
LVM,FY2025-H1,0.5836,0.0188,0.0745,0.0104,0.2082,0.0397,0.0305,0.0343
LVM,FY2025-H2,0.5958,0.0169,0.0773,0.0142,0.2042,0.0185,0.0427,0.0304
LVM,FY2026-H1,0.5904,0.0136,0.076,0.0253,0.2035,0.0152,0.0407,0.0353
TKZ,FY2024-H1,0.5905,0.0247,0.0783,0.0249,0.2023,0.018,0.0297,0.0316
TKZ,FY2024-H2,0.5991,0.014,0.0865,0.0086,0.2044,0.02,0.0363,0.0311
TKZ,FY2025-H1,0.5754,0.0172,0.0864,0.0158,0.2042,0.0179,0.0434,0.0397
TKZ,FY2025-H2,0.583,0.0147,0.0857,0.0189,0.2066,0.0202,0.0414,0.0295
TKZ,FY2026-H1,0.5961,0.0216,0.0818,0.017,0.1953,0.0188,0.0425,0.0269
VPR,FY2024-H1,0.5794,0.0344,0.0857,0.0176,0.2075,0.027,0.0256,0.0228
VPR,FY2024-H2,0.5766,0.0177,0.0811,0.0321,0.2047,0.0268,0.0463,0.0147
VPR,FY2025-H1,0.5725,0.0247,0.0679,0.0273,0.1971,0.0225,0.0433,0.0447
VPR,FY2025-H2,0.5939,0.0219,0.0773,0.0141,0.2071,0.0181,0.0408,0.0268
VPR,FY2026-H1,0.5929,0.0222,0.0869,0.0164,0.1973,0.0151,0.0367,0.0325
RPL,FY2024-H1,0.5759,0.0133,0.0847,0.029,0.1996,0.0424,0.034,0.0211
RPL,FY2024-H2,0.5619,0.03,0.0833,0.0193,0.1989,0.0198,0.0563,0.0305
RPL,FY2025-H1,0.5679,0.0243,0.0807,0.0209,0.1882,0.0284,0.0515,0.0381
RPL,FY2025-H2,0.5944,0.0163,0.0724,0.0189,0.1985,0.0314,0.0279,0.0402
RPL,FY2026-H1,0.6095,0.0175,0.0752,0.0087,0.2123,0.0232,0.0319,0.0217
FIR,FY2024-H1,0.593,0.0325,0.0803,0.0097,0.2036,0.0288,0.0217,0.0304
FIR,FY2024-H2,0.5623,0.0241,0.0899,0.027,0.1916,0.0196,0.0561,0.0294
FIR,FY2025-H1,0.5918,0.02,0.0822,0.0192,0.1979,0.0224,0.0402,0.0263
FIR,FY2025-H2,0.5894,0.0209,0.0789,0.0308,0.1831,0.0319,0.0492,0.0158
FIR,FY2026-H1,0.5875,0.0173,0.0699,0.0145,0.1915,0.0341,0.0464,0.0388
VON,FY2024-H1,0.5612,0.0122,0.0772,0.0237,0.2138,0.0354,0.0489,0.0276
VON,FY2024-H2,0.5506,0.0228,0.0764,0.0277,0.2096,0.0319,0.0534,0.0276
VON,FY2025-H1,0.5642,0.0114,0.0874,0.0189,0.2186,0.0337,0.0455,0.0203
VON,FY2025-H2,0.5493,0.0243,0.0712,0.0324,0.2059,0.036,0.0516,0.0293
VON,FY2026-H1,0.553,0.0226,0.079,0.0275,0.2188,0.0228,0.047,0.0293
LIV,FY2024-H1,0.5586,0.0081,0.0714,0.0255,0.2238,0.029,0.0507,0.0329
LIV,FY2024-H2,0.556,0.0147,0.0824,0.0133,0.2256,0.0163,0.0579,0.0338
LIV,FY2025-H1,0.5559,0.0268,0.0913,0.027,0.2064,0.017,0.0455,0.0301
LIV,FY2025-H2,0.5815,0.0154,0.084,0.0152,0.223,0.0146,0.045,0.0213
LIV,FY2026-H1,0.5443,0.0268,0.0719,0.0377,0.2191,0.0228,0.0431,0.0343
FEI,FY2024-H1,0.5304,0.0203,0.0951,0.0188,0.2215,0.0244,0.0483,0.0412
FEI,FY2024-H2,0.5406,0.0322,0.0837,0.0158,0.2211,0.0343,0.0536,0.0187
FEI,FY2025-H1,0.5521,0.0183,0.0797,0.0244,0.2217,0.0167,0.0528,0.0343
FEI,FY2025-H2,0.5541,0.0271,0.0845,0.0229,0.2161,0.0122,0.0522,0.0309
FEI,FY2026-H1,0.563,0.011,0.0723,0.0273,0.2194,0.0267,0.0501,0.0302
OBI,FY2024-H1,0.5603,0.0165,0.0812,0.0169,0.2184,0.028,0.0519,0.0268
OBI,FY2024-H2,0.5576,0.0136,0.0781,0.0168,0.2284,0.0292,0.0568,0.0195
OBI,FY2025-H1,0.5375,0.0253,0.0776,0.0265,0.2085,0.0346,0.0637,0.0263
OBI,FY2025-H2,0.5577,0.0303,0.0914,0.0164,0.2178,0.0221,0.0407,0.0236
OBI,FY2026-H1,0.5537,0.0146,0.0796,0.0216,0.2303,0.015,0.0568,0.0284
ADV,FY2024-H1,0.2929,0.1512,0.0412,0.0222,0.1771,0.1793,0.0704,0.0657
ADV,FY2024-H2,0.3002,0.1471,0.0459,0.0162,0.1765,0.1874,0.0804,0.0463
ADV,FY2025-H1,0.296,0.1511,0.0455,0.0241,0.1789,0.1631,0.0797,0.0616
ADV,FY2025-H2,0.301,0.1455,0.0514,0.0221,0.1824,0.1858,0.0679,0.0439
ADV,FY2026-H1,0.3,0.1438,0.0494,0.0323,0.175,0.1722,0.0694,0.0579
ADY,FY2024-H1,0.5474,0.0157,0.0738,0.0263,0.2167,0.0414,0.0522,0.0265
ADY,FY2024-H2,0.5296,0.0264,0.0815,0.0224,0.2162,0.0344,0.0567,0.0328
ADY,FY2025-H1,0.5474,0.0207,0.0873,0.0141,0.2196,0.0229,0.0495,0.0385
ADY,FY2025-H2,0.5497,0.0199,0.0691,0.0247,0.2202,0.0384,0.0469,0.0311
ADY,FY2026-H1,0.5517,0.0304,0.0776,0.0215,0.2195,0.0228,0.0459,0.0306
Meza,FY2024-H1,0.5616,0.0129,0.0815,0.0152,0.23,0.0195,0.0464,0.0329
Meza,FY2024-H2,0.5669,0.0196,0.0765,0.0333,0.211,0.0127,0.0534,0.0266
Meza,FY2025-H1,0.5496,0.025,0.0818,0.0161,0.2113,0.0322,0.0546,0.0294
Meza,FY2025-H2,0.5748,0.0126,0.0697,0.0152,0.2208,0.0258,0.0486,0.0325
Meza,FY2026-H1,0.5396,0.0294,0.0775,0.0271,0.2169,0.0246,0.0527,0.0322
