product_id,area,fiscal_year,optimal_fte
HYQ,CS,FY2029,34.96
TRI,CS,FY2029,71.54
ENT,CS,FY2029,71.54
OVE,CS,FY2029,27.71
REV,CS,FY2029,36.75
VYV,CS,FY2029,36.75
VPR,CS,FY2029,36.75
Zaso,CS,FY2029,39.02
GLO,CS,FY2029,0.0
CUV,CS,FY2029,0.0
INT,CS,FY2029,0.0
ALC,CS,FY2029,0.0
TAK881,CS,FY2029,0.0
SYN,CS,FY2029,0.0
LVM,PS遺伝,FY2029,8.69
TKZ,PS遺伝,FY2029,7.58
RPL,PS遺伝,FY2029,8.73
FIR,PS遺伝,FY2029,0.0
Meza,PS遺伝,FY2029,0.0
VON,PS血液,FY2029,11.6
LIV,PS血液,FY2029,28.4
FEI,PS血液,FY2029,0.0
ADV,PS血液,FY2029,0.0
ADY,PS血液,FY2029,0.0
KLR,PS血液,FY2029,0.0
GLI,CS,FY2030,25.0
HYQ,CS,FY2030,34.96
TRI,CS,FY2030,71.54
ENT,CS,FY2030,71.54
OVE,CS,FY2030,27.71
REV,CS,FY2030,36.75
VYV,CS,FY2030,36.75
VPR,CS,FY2030,36.75
Zaso,CS,FY2030,39.02
GLO,CS,FY2030,0.0
CUV,CS,FY2030,0.0
INT,CS,FY2030,0.0
ALC,CS,FY2030,0.0
TAK881,CS,FY2030,0.0
SYN,CS,FY2030,0.0
LVM,PS遺伝,FY2030,8.69
TKZ,PS遺伝,FY2030,7.58
RPL,PS遺伝,FY2030,8.73
FIR,PS遺伝,FY2030,0.0
Meza,PS遺伝,FY2030,0.0
VON,PS血液,FY2030,11.6
LIV,PS血液,FY2030,28.4
FEI,PS血液,FY2030,0.0
ADV,PS血液,FY2030,0.0
ADY,PS血液,FY2030,0.0
KLR,PS血液,FY2030,0.0
GLI,CS,FY2031,25.0
HYQ,CS,FY2031,43.77
ENT,CS,FY2031,89.48
OVE,CS,FY2031,34.28
REV,CS,FY2031,46.2
VYV,CS,FY2031,46.2
VPR,CS,FY2031,46.2
Zaso,CS,FY2031,48.86
GLO,CS,FY2031,0.0
CUV,CS,FY2031,0.0
INT,CS,FY2031,0.0
TRI,CS,FY2031,0.0
ALC,CS,FY2031,0.0
TAK881,CS,FY2031,0.0
SYN,CS,FY2031,0.0
LVM,PS遺伝,FY2031,8.69
TKZ,PS遺伝,FY2031,7.58
RPL,PS遺伝,FY2031,8.73
FIR,PS遺伝,FY2031,0.0
Meza,PS遺伝,FY2031,0.0
VON,PS血液,FY2031,11.6
LIV,PS血液,FY2031,28.4
FEI,PS血液,FY2031,0.0
ADV,PS血液,FY2031,0.0
ADY,PS血液,FY2031,0.0
KLR,PS血液,FY2031,0.0
GLI,CS,FY2032,25.0
HYQ,CS,FY2032,43.77
ENT,CS,FY2032,89.48
OVE,CS,FY2032,34.28
REV,CS,FY2032,46.2
VYV,CS,FY2032,46.2
VPR,CS,FY2032,46.2
Zaso,CS,FY2032,48.86
GLO,CS,FY2032,0.0
CUV,CS,FY2032,0.0
INT,CS,FY2032,0.0
TRI,CS,FY2032,0.0
ALC,CS,FY2032,0.0
TAK881,CS,FY2032,0.0
SYN,CS,FY2032,0.0
LVM,PS遺伝,FY2032,12.46
RPL,PS遺伝,FY2032,12.54
TKZ,PS遺伝,FY2032,0.0
FIR,PS遺伝,FY2032,0.0
Meza,PS遺伝,FY2032,0.0
VON,PS血液,FY2032,11.6
LIV,PS血液,FY2032,28.4
FEI,PS血液,FY2032,0.0
ADV,PS血液,FY2032,0.0
ADY,PS血液,FY2032,0.0
KLR,PS血液,FY2032,0.0
GLI,CS,FY2033,25.0
HYQ,CS,FY2033,123.45
OVE,CS,FY2033,93.67
Zaso,CS,FY2033,137.87
GLO,CS,FY2033,0.0
CUV,CS,FY2033,0.0
INT,CS,FY2033,0.0
TRI,CS,FY2033,0.0
ENT,CS,FY2033,0.0
REV,CS,FY2033,0.0
ALC,CS,FY2033,0.0
VYV,CS,FY2033,0.0
VPR,CS,FY2033,0.0
TAK881,CS,FY2033,0.0
SYN,CS,FY2033,0.0
LVM,PS遺伝,FY2033,12.46
RPL,PS遺伝,FY2033,12.54
TKZ,PS遺伝,FY2033,0.0
FIR,PS遺伝,FY2033,0.0
Meza,PS遺伝,FY2033,0.0
VON,PS血液,FY2033,40.0
LIV,PS血液,FY2033,0.0
FEI,PS血液,FY2033,0.0
ADV,PS血液,FY2033,0.0
ADY,PS血液,FY2033,0.0
KLR,PS血液,FY2033,0.0
GLI,CS,FY2034,25.0
HYQ,CS,FY2034,123.45
OVE,CS,FY2034,93.67
Zaso,CS,FY2034,137.87
GLO,CS,FY2034,0.0
CUV,CS,FY2034,0.0
INT,CS,FY2034,0.0
TRI,CS,FY2034,0.0
ENT,CS,FY2034,0.0
REV,CS,FY2034,0.0
ALC,CS,FY2034,0.0
VYV,CS,FY2034,0.0
VPR,CS,FY2034,0.0
TAK881,CS,FY2034,0.0
SYN,CS,FY2034,0.0
LVM,PS遺伝,FY2034,12.46
RPL,PS遺伝,FY2034,12.54
TKZ,PS遺伝,FY2034,0.0
FIR,PS遺伝,FY2034,0.0
Meza,PS遺伝,FY2034,0.0
VON,PS血液,FY2034,40.0
LIV,PS血液,FY2034,0.0
FEI,PS血液,FY2034,0.0
ADV,PS血液,FY2034,0.0
ADY,PS血液,FY2034,0.0
KLR,PS血液,FY2034,0.0
GLI,CS,FY2035,25.0
HYQ,CS,FY2035,123.45
OVE,CS,FY2035,93.67
Zaso,CS,FY2035,137.87
GLO,CS,FY2035,0.0
CUV,CS,FY2035,0.0
INT,CS,FY2035,0.0
TRI,CS,FY2035,0.0
ENT,CS,FY2035,0.0
REV,CS,FY2035,0.0
ALC,CS,FY2035,0.0
VYV,CS,FY2035,0.0
VPR,CS,FY2035,0.0
TAK881,CS,FY2035,0.0
SYN,CS,FY2035,0.0
LVM,PS遺伝,FY2035,12.46
RPL,PS遺伝,FY2035,12.54
TKZ,PS遺伝,FY2035,0.0
FIR,PS遺伝,FY2035,0.0
Meza,PS遺伝,FY2035,0.0
VON,PS血液,FY2035,40.0
LIV,PS血液,FY2035,0.0
FEI,PS血液,FY2035,0.0
ADV,PS血液,FY2035,0.0
ADY,PS血液,FY2035,0.0
KLR,PS血液,FY2035,0.0
